region_code,region_name,year,hiv_total,hiv_h,hiv_f,hiv_m,hep_b_total,hep_c_total,hep_b_m,hep_b_f,following,loss_of_follow,new_users,population,pct_new_users,pct_following,health_expend,cash_transfer_expend,gdpp,pop20_24,covid_per_capita,state_code
120004,Cruzeiro do Sul,2019,3,0,1,2,99.0,3.0,57.0,42.0,0.0,0.0,0.0,145544.0,0.0,0.0,436.8130141400539,573.1953592040895,14.573508148738526,9.835780863518938,0.0,12
120004,Cruzeiro do Sul,2020,1,0,0,1,31.0,0.0,16.0,15.0,0.0,0.0,0.0,145544.0,0.0,0.0,500.3158275847854,193.73734355246523,14.432709077667234,9.934995533996592,0.04613725059088661,12
120004,Cruzeiro do Sul,2021,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145544.0,0.0,0.0,527.1568751030617,339.7143994256033,,9.955963145165724,0.09496097400098939,12
120004,Cruzeiro do Sul,2022,2,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145544.0,0.0,0.0,,,,,0.11395316880118728,12
120005,Tarauacá,2013,0,0,0,0,70.0,5.0,38.0,32.0,0.0,0.0,0.0,79484.0,0.0,0.0,216.82807483267072,535.3694502038145,12.398859644708368,8.913833601731165,0.0,12
120005,Tarauacá,2014,1,1,0,1,44.0,2.0,22.0,22.0,0.0,0.0,0.0,79484.0,0.0,0.0,273.8552527552715,719.9604475114488,13.200354033516179,9.013755724422527,0.0,12
120005,Tarauacá,2015,1,1,0,1,15.0,3.0,6.0,9.0,0.0,0.0,0.0,79484.0,0.0,0.0,265.4727146343918,690.518830456444,12.546973730562124,9.145816893966082,0.0,12
120005,Tarauacá,2016,1,0,1,0,23.0,2.0,12.0,11.0,0.0,0.0,0.0,79484.0,0.0,0.0,312.3777085954406,728.0387337074128,12.193444089376477,9.27100070454431,0.0,12
120005,Tarauacá,2017,0,0,0,0,37.0,2.0,20.0,17.0,0.0,0.0,0.0,79484.0,0.0,0.0,265.6262364752655,747.2871118715716,12.443558955261436,9.426184515122541,0.0,12
120005,Tarauacá,2018,4,0,0,4,22.0,3.0,13.0,9.0,0.0,0.0,0.0,79484.0,0.0,0.0,392.95676287051486,744.0015638367471,12.199935710331639,9.580401464445673,0.0,12
120005,Tarauacá,2019,2,0,0,2,33.0,7.0,25.0,8.0,0.0,0.0,0.0,79484.0,0.0,0.0,319.0664816818479,729.5016687635248,11.524111016053544,9.721717830003524,0.0,12
120005,Tarauacá,2020,2,0,1,1,6.0,0.0,2.0,4.0,0.0,0.0,0.0,79484.0,0.0,0.0,395.3993066529113,248.5733878516431,11.531978385587037,9.824001056816467,0.05972271148910473,12
120005,Tarauacá,2021,4,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79484.0,0.0,0.0,451.374672261084,432.47229417241203,,9.914604071259623,0.13377535101404056,12
120005,Tarauacá,2022,3,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79484.0,0.0,0.0,,,,,0.16053042121684866,12
130001,Manaus,2013,1207,234,372,835,500.0,177.0,245.0,255.0,0.0,0.0,0.0,2414349.0,0.0,0.0,338.6807050720505,204.38644362517596,44.59082414762738,9.458933853390704,0.0,13
130001,Manaus,2014,1333,293,355,978,444.0,133.0,224.0,220.0,0.0,0.0,0.0,2414349.0,0.0,0.0,362.6403746848529,215.9464570615102,42.82286969696594,9.370310443933333,0.0,13
130001,Manaus,2015,1086,116,289,796,288.0,224.0,138.0,150.0,0.0,0.0,0.0,2414349.0,0.0,0.0,367.93008092864784,191.0999234493439,39.04111602340838,9.310280448269905,0.0,13
130001,Manaus,2016,1096,82,305,788,337.0,224.0,171.0,166.0,0.0,0.0,0.0,2414349.0,0.0,0.0,382.67416946556085,185.086178423252,36.98808611348235,9.379391860911573,0.0,13
130001,Manaus,2017,972,94,246,722,358.0,243.0,177.0,181.0,0.0,0.0,0.0,2414349.0,0.0,0.0,387.97120948959747,177.14681304981175,36.47572614398332,9.478747310351569,0.0,13
130001,Manaus,2018,1042,111,260,781,379.0,272.0,196.0,183.0,294.0,58.0,294.0,2414349.0,2.6486486486486487,2.6486486486486487,428.16512518695515,174.51053810364616,36.72808843709008,9.577285172938959,0.0,13
